gameid,time,roundNum,subA,subB,subC,subD,subE,subF,subG,subH,subI,subJ,subK,subL,trueA,trueB,trueC,trueD,trueE,trueF,trueG,trueH,trueI,trueJ,trueK,trueL,score
3017-0,1459987326065,1,8,12,7,1,10,3,11,2,4,6,5,9,8,12,7,1,10,3,11,2,4,6,5,9,12
3017-0,1459987686293,2,8,4,9,2,11,6,7,12,3,10,5,1,8,4,9,2,11,6,7,12,3,10,5,1,12
3017-0,1459987889643,3,7,3,12,2,4,6,9,5,10,1,11,8,8,4,3,2,5,7,10,6,11,1,12,9,2
3017-0,1459988139711,4,4,12,9,6,3,7,2,10,11,5,8,1,4,12,9,6,3,7,2,10,11,5,8,1,12
3017-0,1459988327928,5,10,12,2,3,5,4,1,11,7,9,8,6,10,12,2,3,5,4,1,11,7,9,8,6,12
3017-0,1459988499035,6,8,5,1,4,11,7,6,9,3,12,2,10,8,5,1,4,11,7,6,9,3,12,2,10,12
1503-c,1459987458393,1,2,10,9,7,5,1,12,11,8,6,4,3,2,3,9,7,4,5,12,11,8,6,10,1,7
1503-c,1459988548474,2,9,11,7,8,10,1,6,5,12,4,2,3,9,2,7,5,10,1,6,11,12,4,8,3,8
1503-c,1459990927436,3,4,5,12,11,10,3,2,8,1,9,6,7,4,5,12,11,10,3,2,8,1,9,6,7,12
1503-c,1459991173273,4,8,4,2,9,1,12,5,3,7,6,10,11,8,4,2,9,1,12,5,3,7,6,10,11,12
1503-c,1459991310569,5,11,8,7,4,5,10,2,12,6,1,3,9,11,8,7,4,5,10,2,12,6,1,3,9,12
1503-c,1459991426573,6,1,7,6,10,8,12,3,11,4,9,2,5,1,7,6,10,8,12,3,11,4,9,2,5,12
4871-5,1459987375943,1,7,5,12,6,10,1,9,3,2,11,8,4,7,5,12,6,10,8,3,1,2,11,9,4,8
4871-5,1459988296629,2,10,5,8,1,12,7,9,4,2,6,3,11,10,5,8,1,12,7,9,4,2,6,3,11,12
4871-5,1459988581822,3,11,4,3,12,9,5,6,10,8,7,2,1,11,4,3,12,9,5,6,10,8,7,2,1,12
4871-5,1459988727392,4,8,2,11,1,9,10,12,4,3,6,7,5,8,2,11,1,9,10,12,4,3,6,7,5,12
4871-5,1459988895757,5,3,11,10,4,12,8,5,2,1,6,9,7,3,11,10,4,12,8,5,2,1,6,9,7,12
4871-5,1459989010322,6,8,12,3,11,9,4,10,2,5,7,1,6,8,1,3,11,9,4,10,2,5,7,12,6,10
4140-2,1459987631602,1,4,10,12,1,3,9,7,11,5,8,2,6,6,10,12,1,3,9,4,11,5,7,8,2,7
4140-2,1459988175122,2,11,7,9,3,5,2,4,1,12,6,10,8,8,4,9,3,5,11,2,7,12,6,1,10,5
4140-2,1459988515004,3,6,1,2,11,9,7,10,12,3,4,8,5,5,1,2,11,9,10,8,7,3,4,6,12,6
4140-2,1459988737807,4,6,11,2,3,4,7,9,12,5,8,1,10,5,11,2,3,9,7,6,4,10,8,12,1,5
4140-2,1459988940255,5,10,3,9,1,2,7,6,11,12,5,4,8,10,6,9,1,2,7,3,4,12,5,11,8,8
4140-2,1459989120230,6,6,10,7,8,9,11,2,1,3,4,5,12,6,2,7,8,10,11,9,12,3,4,1,5,6
3334-3,1459987712086,1,11,3,1,9,4,7,5,2,10,8,6,12,11,3,1,9,4,7,5,2,10,8,6,12,12
3334-3,1459988262618,2,2,4,1,3,7,5,6,12,9,8,10,11,2,4,1,3,7,5,6,12,9,8,10,11,12
3334-3,1459988813168,3,4,1,12,3,8,5,6,2,11,10,7,9,4,1,12,3,8,5,6,2,11,10,7,9,12
